Hat,Robe,Boots,Wand,Athame,Amulet,Ring,Pet,Mount,Deck,Max Health,Damage,Flat Damage,Resistance,Flat Resistance,Accuracy,Critical Rating,Critical Block Rating,Armor Piercing,Stun Resistance,Incoming Healing,Outgoing Healing,Pip Conversion Rating,Power Pip Chance,Shadow Pip Rating,Archmastery Rating,Enchant Damage,Gear Set,Adjusted Health,Balanced Rating,Mob R1 Dmg,Mob HighRes R1 Dmg,Boss R1 Dmg
Jade Hood of Mystery (Level 100+) (No Pins),Malistaire's Cloak of Flux (No Pins),Mysterious Jade Boots (Level 110+) (No Pins),Fraught Archival Quill (Level 170+) (No Jewels),Fraught Archival Dirk (Level 170+) (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Seal of the WoodWard (TerOIC),Other (Chris Storm Pet),Battle Narwhal,Fraught Archival Array (Level 170+) (No Jewels),6600,102,0,70,0,30,405,373,8,0,14,18,742,72,97,191,300,No Gear Set,15000,28840,1868,1245,1529
Jade Hood of Mystery (Level 100+) (No Pins),Malistaire's Cloak of Flux (No Pins),Mysterious Jade Boots (Level 110+) (No Pins),Squall Trueflight Bow (Level 170+) (No Jewels),Fraught Archival Dirk (Level 170+) (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Seal of the WoodWard (TerOIC),Other (Chris Storm Pet),Battle Narwhal,Fraught Archival Array (Level 170+) (No Jewels),6600,99,0,70,0,30,424,357,12,0,14,18,560,72,118,191,300,No Gear Set,15000,29280,1957,1339,1606
Jade Hood of Mystery (Level 100+) (No Pins),Fraught Plot Armor (Level 170+) (No Pins),Mysterious Jade Boots (Level 110+) (No Pins),Aphrodite's Tanglevine Staff (No Jewels),Fraught Archival Dirk (Level 170+) (No Jewels),FlyGob's Medallion (No Jewels),Seal of the WoodWard (TerOIC),Other (Chris Storm Pet),Battle Narwhal,Fraught Archival Array (Level 170+) (No Jewels),7080,80,0,66,0,8,312,442,11,0,14,18,364,72,85,191,300,No Gear Set,15000,26800,1658,1127,1373
Jade Hood of Mystery (Level 100+) (No Pins),Fraught Plot Armor (Level 170+) (No Pins),Mysterious Jade Boots (Level 110+) (No Pins),Fraught Archival Quill (Level 170+) (No Jewels),Fraught Archival Dirk (Level 170+) (No Jewels),FlyGob's Medallion (No Jewels),Seal of the WoodWard (TerOIC),Other (Chris Storm Pet),Battle Narwhal,Fraught Archival Array (Level 170+) (No Jewels),7080,107,0,66,0,13,449,429,19,0,14,18,546,72,85,191,300,No Gear Set,15000,31640,2246,1596,1849
Jade Hood of Mystery (Level 100+) (No Pins),Fraught Plot Armor (Level 170+) (No Pins),Mysterious Jade Boots (Level 110+) (No Pins),Squall Trueflight Bow (Level 170+) (No Jewels),Fraught Archival Dirk (Level 170+) (No Jewels),FlyGob's Medallion (No Jewels),Seal of the WoodWard (TerOIC),Other (Chris Storm Pet),Battle Narwhal,Fraught Archival Array (Level 170+) (No Jewels),7080,104,0,66,0,13,468,413,23,0,14,18,364,72,106,191,300,No Gear Set,15000,32080,2336,1692,1926
Jade Hood of Mystery (Level 100+) (No Pins),Malistaire's Cloak of Flux (No Pins),Dragoon's Shocking Boots (No Pins),Aphrodite's Tanglevine Staff (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Shocking August Sage Ampul (Level 170+) (No Jewels),Fraught Archival Band (Level 170+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Supreme Science Deck (TriPip),7554,120,0,62,0,25,523,261,0,0,6,20,584,90,109,136,300,Dragoon's Shocking Set (1x),14994,29394,1889,1180,1528
Jade Hood of Mystery (Level 100+) (No Pins),Malistaire's Cloak of Flux (No Pins),Dragoon's Shocking Boots (No Pins),Fraught Archival Quill (Level 170+) (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Shocking August Sage Ampul (Level 170+) (No Jewels),Fraught Archival Band (Level 170+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Supreme Science Deck (TriPip),7554,147,0,62,0,30,660,248,8,0,6,20,766,90,109,136,300,Dragoon's Shocking Set (1x),14994,34234,2479,1652,2019
Jade Hood of Mystery (Level 100+) (No Pins),Malistaire's Cloak of Flux (No Pins),Dragoon's Shocking Boots (No Pins),Squall Trueflight Bow (Level 170+) (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Shocking August Sage Ampul (Level 170+) (No Jewels),Fraught Archival Band (Level 170+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Supreme Science Deck (TriPip),7554,144,0,62,0,30,679,232,12,0,6,20,584,90,130,136,300,Dragoon's Shocking Set (1x),14994,34674,2597,1777,2121
Jade Hood of Mystery (Level 100+) (No Pins),Malistaire's Cloak of Flux (No Pins),Dragoon's Shocking Boots (No Pins),Aphrodite's Tanglevine Staff (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Shocking August Sage Ampul (Level 170+) (No Jewels),Fraught Archival Band (Level 170+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Supreme Electric Deck (No Jewels),7554,120,0,62,0,25,530,221,0,0,6,20,684,80,109,136,300,Dragoon's Shocking Set (1x),14994,29394,1893,1183,1531
Jade Hood of Mystery (Level 100+) (No Pins),Malistaire's Cloak of Flux (No Pins),Dragoon's Shocking Boots (No Pins),Fraught Archival Quill (Level 170+) (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Shocking August Sage Ampul (Level 170+) (No Jewels),Fraught Archival Band (Level 170+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Supreme Electric Deck (No Jewels),7554,147,0,62,0,30,667,208,8,0,6,20,866,80,109,136,300,Dragoon's Shocking Set (1x),14994,34234,2483,1655,2022
Jade Hood of Mystery (Level 100+) (No Pins),Malistaire's Cloak of Flux (No Pins),Dragoon's Shocking Boots (No Pins),Squall Trueflight Bow (Level 170+) (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Shocking August Sage Ampul (Level 170+) (No Jewels),Fraught Archival Band (Level 170+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Supreme Electric Deck (No Jewels),7554,144,0,62,0,30,686,192,12,0,6,20,684,80,130,136,300,Dragoon's Shocking Set (1x),14994,34674,2601,1779,2125
Jade Hood of Mystery (Level 100+) (No Pins),Burrower's Divination Robe (Level 160+) (No Pins),Mysterious Jade Boots (Level 110+) (No Pins),Aphrodite's Tanglevine Staff (No Jewels),Fraught Archival Dirk (Level 170+) (No Jewels),FlyGob's Medallion (No Jewels),Burrower's Divination Ring (Level 160+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Supreme Science Deck (TriPip),7310,90,0,64,0,0,351,418,12,0,14,18,364,86,105,136,300,No Gear Set,14990,28190,1809,1238,1493
Jade Hood of Mystery (Level 100+) (No Pins),Burrower's Divination Robe (Level 160+) (No Pins),Mysterious Jade Boots (Level 110+) (No Pins),Fraught Archival Quill (Level 170+) (No Jewels),Fraught Archival Dirk (Level 170+) (No Jewels),FlyGob's Medallion (No Jewels),Burrower's Divination Ring (Level 160+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Supreme Science Deck (TriPip),7310,117,0,64,0,5,488,405,20,0,14,18,546,86,105,136,300,No Gear Set,14990,33030,2417,1726,1988
Jade Hood of Mystery (Level 100+) (No Pins),Burrower's Divination Robe (Level 160+) (No Pins),Mysterious Jade Boots (Level 110+) (No Pins),Squall Trueflight Bow (Level 170+) (No Jewels),Fraught Archival Dirk (Level 170+) (No Jewels),FlyGob's Medallion (No Jewels),Burrower's Divination Ring (Level 160+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Supreme Science Deck (TriPip),7310,114,0,64,0,5,507,389,24,0,14,18,364,86,126,136,300,No Gear Set,14990,33470,2513,1827,2070
Jade Hood of Mystery (Level 100+) (No Pins),Burrower's Divination Robe (Level 160+) (No Pins),Mysterious Jade Boots (Level 110+) (No Pins),Aphrodite's Tanglevine Staff (No Jewels),Fraught Archival Dirk (Level 170+) (No Jewels),FlyGob's Medallion (No Jewels),Burrower's Divination Ring (Level 160+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Supreme Electric Deck (No Jewels),7310,90,0,64,0,0,358,378,12,0,14,18,464,76,105,136,300,No Gear Set,14990,28190,1815,1242,1497
Jade Hood of Mystery (Level 100+) (No Pins),Burrower's Divination Robe (Level 160+) (No Pins),Mysterious Jade Boots (Level 110+) (No Pins),Fraught Archival Quill (Level 170+) (No Jewels),Fraught Archival Dirk (Level 170+) (No Jewels),FlyGob's Medallion (No Jewels),Burrower's Divination Ring (Level 160+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Supreme Electric Deck (No Jewels),7310,117,0,64,0,5,495,365,20,0,14,18,646,76,105,136,300,No Gear Set,14990,33030,2422,1730,1992
Jade Hood of Mystery (Level 100+) (No Pins),Burrower's Divination Robe (Level 160+) (No Pins),Mysterious Jade Boots (Level 110+) (No Pins),Squall Trueflight Bow (Level 170+) (No Jewels),Fraught Archival Dirk (Level 170+) (No Jewels),FlyGob's Medallion (No Jewels),Burrower's Divination Ring (Level 160+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Supreme Electric Deck (No Jewels),7310,114,0,64,0,5,514,349,24,0,14,18,464,76,126,136,300,No Gear Set,14990,33470,2519,1832,2075
Jade Hood of Mystery (Level 100+) (No Pins),Malistaire's Cloak of Flux (No Pins),Dragoon's Shocking Boots (No Pins),Aphrodite's Tanglevine Staff (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Shocking August Sage Ampul (Level 170+) (No Jewels),Burrower's Divination Ring (Level 160+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Fraught Archival Array (Level 170+) (No Jewels),7550,124,0,62,0,25,504,281,0,0,6,8,584,98,109,191,300,Dragoon's Shocking Set (1x),14990,29870,1911,1194,1546
Jade Hood of Mystery (Level 100+) (No Pins),Malistaire's Cloak of Flux (No Pins),Dragoon's Shocking Boots (No Pins),Fraught Archival Quill (Level 170+) (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Shocking August Sage Ampul (Level 170+) (No Jewels),Burrower's Divination Ring (Level 160+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Fraught Archival Array (Level 170+) (No Jewels),7550,151,0,62,0,30,641,268,8,0,6,8,766,98,109,191,300,Dragoon's Shocking Set (1x),14990,34710,2507,1671,2041
Jade Hood of Mystery (Level 100+) (No Pins),Malistaire's Cloak of Flux (No Pins),Dragoon's Shocking Boots (No Pins),Squall Trueflight Bow (Level 170+) (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Shocking August Sage Ampul (Level 170+) (No Jewels),Burrower's Divination Ring (Level 160+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Fraught Archival Array (Level 170+) (No Jewels),7550,148,0,62,0,30,660,252,12,0,6,8,584,98,130,191,300,Dragoon's Shocking Set (1x),14990,35150,2627,1797,2146
Jade Hood of Mystery (Level 100+) (No Pins),Burrower's Divination Robe (Level 160+) (No Pins),Burrower's Divination Boots (Level 160+) (No Pins),Aphrodite's Tanglevine Staff (No Jewels),Fraught Archival Dirk (Level 170+) (No Jewels),FlyGob's Medallion (No Jewels),Seal of the WoodWard (TerOIC),Other (Chris Storm Pet),Battle Narwhal,Fraught Archival Array (Level 170+) (No Jewels),8029,110,0,58,0,0,419,510,18,0,6,13,364,71,119,191,300,No Gear Set,14989,31789,2224,1573,1833
Jade Hood of Mystery (Level 100+) (No Pins),Burrower's Divination Robe (Level 160+) (No Pins),Burrower's Divination Boots (Level 160+) (No Pins),Fraught Archival Quill (Level 170+) (No Jewels),Fraught Archival Dirk (Level 170+) (No Jewels),FlyGob's Medallion (No Jewels),Seal of the WoodWard (TerOIC),Other (Chris Storm Pet),Battle Narwhal,Fraught Archival Array (Level 170+) (No Jewels),8029,137,0,58,0,5,556,497,26,0,6,13,546,71,119,191,300,No Gear Set,14989,36629,2891,2120,2382
Jade Hood of Mystery (Level 100+) (No Pins),Burrower's Divination Robe (Level 160+) (No Pins),Burrower's Divination Boots (Level 160+) (No Pins),Squall Trueflight Bow (Level 170+) (No Jewels),Fraught Archival Dirk (Level 170+) (No Jewels),FlyGob's Medallion (No Jewels),Seal of the WoodWard (TerOIC),Other (Chris Storm Pet),Battle Narwhal,Fraught Archival Array (Level 170+) (No Jewels),8029,134,0,58,0,5,575,481,30,0,6,13,364,71,140,191,300,No Gear Set,14989,37069,2998,2232,2475
Jade Hood of Mystery (Level 100+) (No Pins),Malistaire's Cloak of Flux (No Pins),Dragoon's Shocking Boots (No Pins),Aphrodite's Tanglevine Staff (No Jewels),Fraught Archival Dirk (Level 170+) (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Seal of the WoodWard (TerOIC),Other (Chris Storm Pet),Battle Narwhal,Supreme Science Deck (TriPip),7304,108,0,64,0,25,384,301,0,0,6,16,560,85,109,136,300,Dragoon's Shocking Set (1x),14984,27944,1694,1058,1379
Jade Hood of Mystery (Level 100+) (No Pins),Malistaire's Cloak of Flux (No Pins),Dragoon's Shocking Boots (No Pins),Fraught Archival Quill (Level 170+) (No Jewels),Fraught Archival Dirk (Level 170+) (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Seal of the WoodWard (TerOIC),Other (Chris Storm Pet),Battle Narwhal,Supreme Science Deck (TriPip),7304,135,0,64,0,30,521,288,8,0,6,16,742,85,109,136,300,Dragoon's Shocking Set (1x),14984,32784,2268,1512,1848
Jade Hood of Mystery (Level 100+) (No Pins),Malistaire's Cloak of Flux (No Pins),Dragoon's Shocking Boots (No Pins),Squall Trueflight Bow (Level 170+) (No Jewels),Fraught Archival Dirk (Level 170+) (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Seal of the WoodWard (TerOIC),Other (Chris Storm Pet),Battle Narwhal,Supreme Science Deck (TriPip),7304,132,0,64,0,30,540,272,12,0,6,16,560,85,130,136,300,Dragoon's Shocking Set (1x),14984,33224,2378,1627,1943
Jade Hood of Mystery (Level 100+) (No Pins),Malistaire's Cloak of Flux (No Pins),Dragoon's Shocking Boots (No Pins),Aphrodite's Tanglevine Staff (No Jewels),Fraught Archival Dirk (Level 170+) (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Seal of the WoodWard (TerOIC),Other (Chris Storm Pet),Battle Narwhal,Supreme Electric Deck (No Jewels),7304,108,0,64,0,25,391,261,0,0,6,16,660,75,109,136,300,Dragoon's Shocking Set (1x),14984,27944,1699,1062,1383
Jade Hood of Mystery (Level 100+) (No Pins),Malistaire's Cloak of Flux (No Pins),Dragoon's Shocking Boots (No Pins),Fraught Archival Quill (Level 170+) (No Jewels),Fraught Archival Dirk (Level 170+) (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Seal of the WoodWard (TerOIC),Other (Chris Storm Pet),Battle Narwhal,Supreme Electric Deck (No Jewels),7304,135,0,64,0,30,528,248,8,0,6,16,842,75,109,136,300,Dragoon's Shocking Set (1x),14984,32784,2273,1515,1852
Jade Hood of Mystery (Level 100+) (No Pins),Malistaire's Cloak of Flux (No Pins),Dragoon's Shocking Boots (No Pins),Squall Trueflight Bow (Level 170+) (No Jewels),Fraught Archival Dirk (Level 170+) (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Seal of the WoodWard (TerOIC),Other (Chris Storm Pet),Battle Narwhal,Supreme Electric Deck (No Jewels),7304,132,0,64,0,30,547,232,12,0,6,16,660,75,130,136,300,Dragoon's Shocking Set (1x),14984,33224,2383,1630,1947
Jade Hood of Mystery (Level 100+) (No Pins),Fraught Plot Armor (Level 170+) (No Pins),Dragoon's Shocking Boots (No Pins),Aphrodite's Tanglevine Staff (No Jewels),Fraught Archival Dirk (Level 170+) (No Jewels),FlyGob's Medallion (No Jewels),Seal of the WoodWard (TerOIC),Other (Chris Storm Pet),Battle Narwhal,Supreme Science Deck (TriPip),7784,113,0,60,0,8,428,357,11,0,6,16,364,85,97,136,300,Dragoon's Shocking Set (1x),14984,30744,2071,1408,1698
Jade Hood of Mystery (Level 100+) (No Pins),Fraught Plot Armor (Level 170+) (No Pins),Dragoon's Shocking Boots (No Pins),Fraught Archival Quill (Level 170+) (No Jewels),Fraught Archival Dirk (Level 170+) (No Jewels),FlyGob's Medallion (No Jewels),Seal of the WoodWard (TerOIC),Other (Chris Storm Pet),Battle Narwhal,Supreme Science Deck (TriPip),7784,140,0,60,0,13,565,344,19,0,6,16,546,85,97,136,300,Dragoon's Shocking Set (1x),14984,35584,2707,1924,2222
Jade Hood of Mystery (Level 100+) (No Pins),Fraught Plot Armor (Level 170+) (No Pins),Dragoon's Shocking Boots (No Pins),Squall Trueflight Bow (Level 170+) (No Jewels),Fraught Archival Dirk (Level 170+) (No Jewels),FlyGob's Medallion (No Jewels),Seal of the WoodWard (TerOIC),Other (Chris Storm Pet),Battle Narwhal,Supreme Science Deck (TriPip),7784,137,0,60,0,13,584,328,23,0,6,16,364,85,118,136,300,Dragoon's Shocking Set (1x),14984,36024,2817,2040,2317
Jade Hood of Mystery (Level 100+) (No Pins),Fraught Plot Armor (Level 170+) (No Pins),Dragoon's Shocking Boots (No Pins),Aphrodite's Tanglevine Staff (No Jewels),Fraught Archival Dirk (Level 170+) (No Jewels),FlyGob's Medallion (No Jewels),Seal of the WoodWard (TerOIC),Other (Chris Storm Pet),Battle Narwhal,Supreme Electric Deck (No Jewels),7784,113,0,60,0,8,435,317,11,0,6,16,464,75,97,136,300,Dragoon's Shocking Set (1x),14984,30744,2077,1412,1702
Jade Hood of Mystery (Level 100+) (No Pins),Fraught Plot Armor (Level 170+) (No Pins),Dragoon's Shocking Boots (No Pins),Fraught Archival Quill (Level 170+) (No Jewels),Fraught Archival Dirk (Level 170+) (No Jewels),FlyGob's Medallion (No Jewels),Seal of the WoodWard (TerOIC),Other (Chris Storm Pet),Battle Narwhal,Supreme Electric Deck (No Jewels),7784,140,0,60,0,13,572,304,19,0,6,16,646,75,97,136,300,Dragoon's Shocking Set (1x),14984,35584,2712,1928,2226
Jade Hood of Mystery (Level 100+) (No Pins),Fraught Plot Armor (Level 170+) (No Pins),Dragoon's Shocking Boots (No Pins),Squall Trueflight Bow (Level 170+) (No Jewels),Fraught Archival Dirk (Level 170+) (No Jewels),FlyGob's Medallion (No Jewels),Seal of the WoodWard (TerOIC),Other (Chris Storm Pet),Battle Narwhal,Supreme Electric Deck (No Jewels),7784,137,0,60,0,13,591,288,23,0,6,16,464,75,118,136,300,Dragoon's Shocking Set (1x),14984,36024,2823,2044,2322
Jade Hood of Mystery (Level 100+) (No Pins),Malistaire's Cloak of Flux (No Pins),Mysterious Jade Boots (Level 110+) (No Pins),Aphrodite's Tanglevine Staff (No Jewels),Fraught Archival Dirk (Level 170+) (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Fraught Archival Band (Level 170+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Supreme Science Deck (TriPip),6577,89,0,70,0,25,376,366,0,0,14,30,560,70,97,136,300,No Gear Set,14977,25657,1533,958,1249
Jade Hood of Mystery (Level 100+) (No Pins),Malistaire's Cloak of Flux (No Pins),Mysterious Jade Boots (Level 110+) (No Pins),Fraught Archival Quill (Level 170+) (No Jewels),Fraught Archival Dirk (Level 170+) (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Fraught Archival Band (Level 170+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Supreme Science Deck (TriPip),6577,116,0,70,0,30,513,353,8,0,14,30,742,70,97,136,300,No Gear Set,14977,30497,2079,1386,1695
Jade Hood of Mystery (Level 100+) (No Pins),Malistaire's Cloak of Flux (No Pins),Mysterious Jade Boots (Level 110+) (No Pins),Squall Trueflight Bow (Level 170+) (No Jewels),Fraught Archival Dirk (Level 170+) (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Fraught Archival Band (Level 170+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Supreme Science Deck (TriPip),6577,113,0,70,0,30,532,337,12,0,14,30,560,70,118,136,300,No Gear Set,14977,30937,2178,1490,1780
Jade Hood of Mystery (Level 100+) (No Pins),Malistaire's Cloak of Flux (No Pins),Mysterious Jade Boots (Level 110+) (No Pins),Aphrodite's Tanglevine Staff (No Jewels),Fraught Archival Dirk (Level 170+) (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Fraught Archival Band (Level 170+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Supreme Electric Deck (No Jewels),6577,89,0,70,0,25,383,326,0,0,14,30,660,60,97,136,300,No Gear Set,14977,25657,1538,961,1253
Jade Hood of Mystery (Level 100+) (No Pins),Malistaire's Cloak of Flux (No Pins),Mysterious Jade Boots (Level 110+) (No Pins),Fraught Archival Quill (Level 170+) (No Jewels),Fraught Archival Dirk (Level 170+) (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Fraught Archival Band (Level 170+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Supreme Electric Deck (No Jewels),6577,116,0,70,0,30,520,313,8,0,14,30,842,60,97,136,300,No Gear Set,14977,30497,2084,1389,1698
Jade Hood of Mystery (Level 100+) (No Pins),Malistaire's Cloak of Flux (No Pins),Mysterious Jade Boots (Level 110+) (No Pins),Squall Trueflight Bow (Level 170+) (No Jewels),Fraught Archival Dirk (Level 170+) (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Fraught Archival Band (Level 170+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Supreme Electric Deck (No Jewels),6577,113,0,70,0,30,539,297,12,0,14,30,660,60,118,136,300,No Gear Set,14977,30937,2182,1493,1783
Jade Hood of Mystery (Level 100+) (No Pins),Malistaire's Cloak of Flux (No Pins),Mysterious Jade Boots (Level 110+) (No Pins),Aphrodite's Tanglevine Staff (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Shocking August Sage Ampul (Level 170+) (No Jewels),Seal of the WoodWard (TerOIC),Other (Chris Storm Pet),Battle Narwhal,Fraught Archival Array (Level 170+) (No Jewels),6817,73,0,68,0,25,268,346,0,0,14,10,584,89,97,191,300,No Gear Set,14977,23737,1325,828,1094
Jade Hood of Mystery (Level 100+) (No Pins),Malistaire's Cloak of Flux (No Pins),Mysterious Jade Boots (Level 110+) (No Pins),Fraught Archival Quill (Level 170+) (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Shocking August Sage Ampul (Level 170+) (No Jewels),Seal of the WoodWard (TerOIC),Other (Chris Storm Pet),Battle Narwhal,Fraught Archival Array (Level 170+) (No Jewels),6817,100,0,68,0,30,405,333,8,0,14,10,766,89,97,191,300,No Gear Set,14977,28577,1849,1233,1514
Jade Hood of Mystery (Level 100+) (No Pins),Malistaire's Cloak of Flux (No Pins),Mysterious Jade Boots (Level 110+) (No Pins),Squall Trueflight Bow (Level 170+) (No Jewels),Burrower's Divination Athame (Level 160+) (No Jewels),Shocking August Sage Ampul (Level 170+) (No Jewels),Seal of the WoodWard (TerOIC),Other (Chris Storm Pet),Battle Narwhal,Fraught Archival Array (Level 170+) (No Jewels),6817,97,0,68,0,30,424,317,12,0,14,10,584,89,118,191,300,No Gear Set,14977,29017,1938,1326,1590
Jade Hood of Mystery (Level 100+) (No Pins),Fraught Plot Armor (Level 170+) (No Pins),Mysterious Jade Boots (Level 110+) (No Pins),Aphrodite's Tanglevine Staff (No Jewels),Fraught Archival Dirk (Level 170+) (No Jewels),FlyGob's Medallion (No Jewels),Fraught Archival Band (Level 170+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Supreme Science Deck (TriPip),7057,94,0,66,0,8,420,422,11,0,14,30,364,70,85,136,300,No Gear Set,14977,28457,1880,1278,1542
Jade Hood of Mystery (Level 100+) (No Pins),Fraught Plot Armor (Level 170+) (No Pins),Mysterious Jade Boots (Level 110+) (No Pins),Fraught Archival Quill (Level 170+) (No Jewels),Fraught Archival Dirk (Level 170+) (No Jewels),FlyGob's Medallion (No Jewels),Fraught Archival Band (Level 170+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Supreme Science Deck (TriPip),7057,121,0,66,0,13,557,409,19,0,14,30,546,70,85,136,300,No Gear Set,14977,33297,2487,1767,2041
Jade Hood of Mystery (Level 100+) (No Pins),Fraught Plot Armor (Level 170+) (No Pins),Mysterious Jade Boots (Level 110+) (No Pins),Squall Trueflight Bow (Level 170+) (No Jewels),Fraught Archival Dirk (Level 170+) (No Jewels),FlyGob's Medallion (No Jewels),Fraught Archival Band (Level 170+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Supreme Science Deck (TriPip),7057,118,0,66,0,13,576,393,23,0,14,30,364,70,106,136,300,No Gear Set,14977,33737,2585,1872,2127
Jade Hood of Mystery (Level 100+) (No Pins),Fraught Plot Armor (Level 170+) (No Pins),Mysterious Jade Boots (Level 110+) (No Pins),Aphrodite's Tanglevine Staff (No Jewels),Fraught Archival Dirk (Level 170+) (No Jewels),FlyGob's Medallion (No Jewels),Fraught Archival Band (Level 170+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Supreme Electric Deck (No Jewels),7057,94,0,66,0,8,427,382,11,0,14,30,464,60,85,136,300,No Gear Set,14977,28457,1885,1282,1546
Jade Hood of Mystery (Level 100+) (No Pins),Fraught Plot Armor (Level 170+) (No Pins),Mysterious Jade Boots (Level 110+) (No Pins),Fraught Archival Quill (Level 170+) (No Jewels),Fraught Archival Dirk (Level 170+) (No Jewels),FlyGob's Medallion (No Jewels),Fraught Archival Band (Level 170+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Supreme Electric Deck (No Jewels),7057,121,0,66,0,13,564,369,19,0,14,30,646,60,85,136,300,No Gear Set,14977,33297,2492,1771,2045
Jade Hood of Mystery (Level 100+) (No Pins),Fraught Plot Armor (Level 170+) (No Pins),Mysterious Jade Boots (Level 110+) (No Pins),Squall Trueflight Bow (Level 170+) (No Jewels),Fraught Archival Dirk (Level 170+) (No Jewels),FlyGob's Medallion (No Jewels),Fraught Archival Band (Level 170+) (No Jewels),Other (Chris Storm Pet),Battle Narwhal,Supreme Electric Deck (No Jewels),7057,118,0,66,0,13,583,353,23,0,14,30,464,60,106,136,300,No Gear Set,14977,33737,2591,1876,2131
Jade Hood of Mystery (Level 100+) (No Pins),Malistaire's Cloak of Flux (No Pins),Burrower's Divination Boots (Level 160+) (No Pins),Aphrodite's Tanglevine Staff (No Jewels),Fierce Dream Reaver Knife (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Seal of the WoodWard (TerOIC),Other (Chris Storm Pet),Battle Narwhal,Supreme Science Deck (TriPip),7294,116,0,64,0,25,363,406,6,0,6,5,560,100,111,136,300,No Gear Set,14974,30094,1905,1252,1563
Jade Hood of Mystery (Level 100+) (No Pins),Malistaire's Cloak of Flux (No Pins),Burrower's Divination Boots (Level 160+) (No Pins),Fraught Archival Quill (Level 170+) (No Jewels),Fierce Dream Reaver Knife (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Seal of the WoodWard (TerOIC),Other (Chris Storm Pet),Battle Narwhal,Supreme Science Deck (TriPip),7294,143,0,64,0,30,500,393,14,0,6,5,742,100,111,136,300,No Gear Set,14974,34934,2523,1747,2067
Jade Hood of Mystery (Level 100+) (No Pins),Malistaire's Cloak of Flux (No Pins),Burrower's Divination Boots (Level 160+) (No Pins),Squall Trueflight Bow (Level 170+) (No Jewels),Fierce Dream Reaver Knife (No Jewels),Fraught Archival Ampul (Level 170+) (No Jewels),Seal of the WoodWard (TerOIC),Other (Chris Storm Pet),Battle Narwhal,Supreme Science Deck (TriPip),7294,140,0,64,0,30,519,377,18,0,6,5,560,100,132,136,300,No Gear Set,14974,35374,2636,1865,2164
